steamid,steamid64,name,nationality
0:0:25117285,76561198010500298,cocs,ru
0:1:59869113,76561198080003955,PowerBall,ru
0:1:81074589,76561198122414907,Pandemia,ru
0:0:22360306,76561198004986340,kawai,ru
0:0:55900997,76561198072067722,arhangel,ru
0:0:1569453,76561197963404634,morph,ru
0:1:38176975,76561198036619679,n!mb,ru
0:1:22264456,76561198004794641,quelgun,ru
0:1:17407143,76561197995080015,Flammy,ru
0:0:16996215,76561197994258158,Terry,ru
0:1:25999396,76561198012264521,D.Style,ru
0:0:6635808,76561197973537344,Okami,ru
0:1:33416824,76561198027099377,mtr,ru
0:0:11423790,76561197983113308,PABEDA,ru
0:0:80131956,76561198120529640,Elen??,ru
0:0:41870458,76561198044006644,Semeg??,ru
0:1:47343786,76561198054953301,mtr,ru
0:0:30896131,76561198022057990,Pos!tiv,ru
0:1:208901,76561197960683531,Pos!tiv,ru
0:0:51151940,76561198062569608,Pos!tiv,ru
0:0:14894201,76561197990054130,Pos!tiv,ru
0:1:16692631,76561197993650991,Craze'n'Evil,ru
0:1:2204369,76561197964674467,promi?,ru
0:1:21563188,76561198003392105,Griff,ru
0:0:16549349,76561197993364426,T[@]HK,ru
0:0:20735429,76561198001736586,Vega,ru
0:0:87865011,76561198135995750,Daemon,ru
0:1:14827286,76561197989920301,Vain,ru
0:0:20708158,76561198001682044,kappa,ru
0:1:37699221,76561198035664171,vaxa,ru
0:1:51538912,76561198063343553,Pando4ka^^,ru
0:1:17193371,76561197994652471,keNt,ru
0:0:56444833,76561198073155394,Pow3r,ru
0:1:47312133,76561198054889995,nergal,ru
0:0:43442807,76561198047151342,StormScreamer,ru
0:0:10079251,76561197980424230,cub,ru
0:1:29723513,76561198019712755,fen,ru
0:1:38875445,76561198038016619,undead,ru
0:1:33339362,76561198026944453,H@nt3r,ru
0:0:44965868,76561198050197464,acid,ru
0:1:33265248,76561198026796225,umka,ru
0:1:36242993,76561198032751715,kulach0k,ru
0:1:40892292,76561198042050313,Prov,ru
0:1:15888396,76561197992042521,L,ru
0:1:5570072,76561197971405873,ntls,ru
0:1:7756242,76561197975778213,beast,ru
0:0:13824828,76561197987915384,d1recT,ru
0:1:17403470,76561197995072669,koko!,ru
0:0:39162626,76561198038590980,Vladimir,ru
0:0:39960178,76561198040186084,Idler,ru
0:0:39287504,76561198038840736,Vegas86,ru
0:0:48833504,76561198057932736,BaRNi,ru
0:0:54647264,76561198069560256,tvoi drug,ru
0:0:18272998,76561197996811724,eXXXtrema1,ru
0:0:20788062,76561198001841852,nerv,ru
0:0:19605560,76561197999476848,LaNselot,ru
0:1:23280081,76561198006825891,Dark Alex,ru
0:1:14466156,76561197989198041,Fatal Bazo_0Ka,ru
0:1:16373210,76561197993012149,nats,ru
0:0:31176745,76561198022619218,nats,ru
0:0:29293621,76561198018852970,Arbuz,ru
0:1:22247371,76561198004760471,Gates,ru
0:1:14306411,76561197988878551,Sub,ru
0:1:54425395,76561198069116519,Bmw,ru
0:1:10152115,76561197980569959,TOFI,ru
0:1:45203704,76561198050673137,TOFI,ru
0:0:59842335,76561198079950398,RuFiX,ru
0:1:21394228,76561198003054185,Elendil,ru
0:1:29181955,76561198018629639,Doker,ru
0:1:47578123,76561198055421975,Ar4i(Vetax),ru
0:1:39342354,76561198038950437,RoNNie,ru
0:1:24456693,76561198009179115,Undying,ru
0:1:36684551,76561198033634831,KoT,ru
0:0:34975892,76561198030217512,dark_demon,ru
0:0:44131952,76561198048529632,bizarro,ru
0:1:23021253,76561198006308235,uto4ka,ru
0:1:33489729,76561198027245187,Cyber,ru
0:1:31455620,76561198023176969,unnam(e)D,ru
0:0:23369693,76561198007005114,Sap,ru
0:1:22145265,76561198004556259,Snapos,ru
0:0:43883374,76561198048032476,UniQue,ru
0:0:33900697,76561198028067122,Zars,ru
0:0:29355692,76561198018977112,LaNselot,ru
0:0:34695413,76561198029656554,stels,ru
0:1:35686750,76561198031639229,Mashka,ru
0:1:34968698,76561198030203125,exp,ru
0:0:18832839,76561197997931406,URALmash,ru
0:0:29402582,76561198019070892,keef,ru
0:1:48545502,76561198057356733,HarD^Core,ru
0:1:27175994,76561198014617717,Syr1keN,ru
0:0:18329993,76561197996925714,lexx,ru
0:0:54051839,76561198068369406,joppers,ru
0:0:52460962,76561198065187652,Nastya,ru
